기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
기간	자치구	동	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적	개소	면적	면적
기간	자치구	동	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적	개소	판매면적	건물연면적
2019	구로구	소계	23	293,730	1,736,000	4	40,587	569,584	1	37,221	116,445	-	-	-	1	4,389	13,224	-	-	-	17	211,533	1,036,747
2019	구로구	신도림동	2	49,135	304,142	1	11,914	187,697	1	37,221	116,445	-	-	-	-	-	-	-	-	-	-	-	-
2019	구로구	구로1동	1	2,762	7,262	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,762	7,262
2019	구로구	구로3동	1	9,927	38,946	1	9,927	38,946	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2019	구로구	구로4동	1	4,703	5,091	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,703	5,091
2019	구로구	구로5동	3	49,262	706,619	1	6,924	283,043	-	-	-	-	-	-	-	-	-	-	-	-	2	42,338	423,576
2019	구로구	고척1동	5	44,557	139,308	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	44,557	139,308
2019	구로구	고척2동	1	3,085	9,973	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,085	9,973
2019	구로구	개봉2동	1	1,360	1,515	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,360	1,515
2019	구로구	개봉3동	1	2,464	9,650	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,464	9,650
