기간	자치구	동	합계	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 가지지 않은 자	한국국적을 취득한 자	외국인주민 자녀(출생)
기간	자치구	동	합계	소계	외국인근로자	결혼이민자	유학생	외국국적동포	기타외국인	한국국적을 취득한 자	외국인주민 자녀(출생)
2019	서초구	내곡동	289	181	7	48	***	55	71	30	78
2019	강남구	계	11,735	9,725	1,726	1,061	280	2,667	3,991	596	1,414
2019	강남구	신사동	632	565	112	48	21	161	223	13	54
2019	강남구	논현1동	1,019	908	226	80	60	193	349	58	53
2019	강남구	논현2동	685	586	117	65	34	142	228	26	73
2019	강남구	삼성1동	419	364	65	24	***	102	171	12	43
2019	강남구	삼성2동	645	522	62	69	9	149	233	22	101
2019	강남구	대치1동	230	167	***	27	***	63	73	9	54
2019	강남구	대치4동	625	565	149	36	19	139	222	27	33
2019	강남구	역삼1동	1,588	1,467	348	85	74	316	644	52	69
