기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
기간	자치구	동	가구	시설	인원	가구	인원	가구	인원	가구	인원	시설	인원
2019	동작구	신대방2동	343	-	471	292	398	48	70	3	3	-	-
2019	동작구	흑석동	494	-	681	430	563	60	110	4	8	-	-
2019	동작구	노량진1동	651	-	824	578	720	66	95	7	9	-	-
2019	동작구	사당2동	327	-	429	278	343	45	80	4	6	-	-
2019	동작구	기타	33	13	420	32	32	1	-	-	-	13	388
2019	관악구	소계	11,978	33	16,249	9,956	12,651	1,525	2,515	497	669	33	414
2019	관악구	보라매동	610	-	837	507	661	83	146	20	30	-	-
2019	관악구	청림동	399	-	522	343	432	39	64	17	26	-	-
2019	관악구	행운동	642	-	812	547	673	64	104	31	35	-	-
2019	관악구	낙성대동	243	-	329	200	257	29	49	14	23	-	-
2019	관악구	중앙동	333	-	402	281	331	38	53	14	18	-	-
